team,nationality,position,potential,name 
Pordenone ,Italy,Defensa lateral (lateral derecha),Bueno,Michele De Agostini
Gil Vicente FC ,Portugal,Defensa lateral (lateral derecha),Bueno,Henrique Gomes
Moreirense FC ,Portugal,Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Muy bueno,Nuno Santos
Kaizer Chiefs ,Serbia,Delantero|Delantero central|Extremo (Extremo izquierdo),Bueno,Samir Nurkovic
Futebol Clube de Famalicão ,Portugal,Mediocampista central,Bueno,Guga Rodrigues
Arsenal de Sarandí ,Argentina,Delantero|Delantero central,Bueno,Lautaro Parisi
Orlando Pirates ,South Africa,Delantero|Mediocampista central|Mediocampista ofensivo,Bueno,Fortune Makaringe
Fútbol Club Juárez ,Argentina,Mediocampista lateral,Bueno,Mauro Fernández
Pogon Szczecin ,Croatia,Portero,Bueno,Dante Stipica
FC Paços de Ferreira ,France,Mediocampista defensivo,Bueno,Mohamed Diaby
Boavista FC ,Ghana,Mediocampista defensivo|Mediocampista central,Bueno,Yaw Ackah
Asocia?ia Fotbal Club Astra Giurgiu ,Montenegro,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),Bueno,Risto Radunovic
CFR Cluj ,Romania,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Bueno,Catalin Golofca
Cruz Azul ,Paraguay,Defensa lateral|Defensa central,Bueno,Juan Escobar
Al Ain FC ,United Arab Emirates,Defensa lateral|Mediocampista lateral,Bueno,Bandar Al Ahbabi
América de Cali ,Argentina,Defensa central,Bueno,Juan Pablo Segovia
Cagliari ,Uruguay,Mediocampista defensivo|Mediocampista central,Bueno,Christian Oliva
RCD Espanyol ,Spain,Delantero,Muy bueno,Campuzano
DSC Arminia Bielefeld ,Germany,Defensa central,Bueno,Amos Pieper
Celtic ,Ivory Coast,Delantero|Mediocampista lateral (Mediocampista derecho),Bueno,Vakoun Issouf Bayo
Unión de Santa Fe ,Uruguay,Mediocampista central,Bueno,Javier Méndez
Yokohama F·Marinos ,Korea Republic,Portero,Bueno,Park Il Gyu
Fútbol Club Juárez ,Paraguay,Defensa lateral|Defensa central,Bueno,Gustavo Velázquez
Chicago Fire Soccer Club ,Argentina,Delantero|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Muy bueno,Ignacio Aliseda
Ajax ,Netherlands,Mediocampista defensivo|Mediocampista central,Muy bueno,Ryan Gravenberch
RC Deportivo ,Spain,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Muy bueno,Mollejo
FC St. Pauli ,Wales,Defensa lateral (lateral derecha)|Defensa central|Mediocampista defensivo,Bueno,James Lawrence
PFC CSKA Moscow ,Russia,Defensa central,Muy bueno,Igor Diveev
RCD Espanyol ,Spain,Lateral (lateral izquierdo)|Defensa lateral|Mediocampista lateral|Extremo (Extremo derecho),Muy bueno,Víctor Gómez
Spartak Moscow ,Russia,Defensa lateral|Defensa lateral (lateral derecha),Bueno,Nikolay Rasskazov
CF Fuenlabrada ,Senegal,Delantero,Bueno,Sekou Gassama
Besiktas JK ,Turkey,Delantero|Mediocampista lateral (Mediocampista derecho),Bueno,Güven Yalçin
Deportes Tolima ,Colombia,Delantero|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Andrey Estupiñán
Gallos Blancos de Querétaro ,Mexico,Mediocampista central|Mediocampista ofensivo,Muy bueno,Marcel Ruiz
Portimonense SC ,Portugal,Mediocampista central,Bueno,Bruno Costa
Nîmes Olympique ,Morocco,Mediocampista ofensivo,Muy bueno,Yassine Benrahou
Viktoria Plzen ,Czech Republic,Defensa lateral|Defensa lateral (lateral derecha)|Mediocampista lateral,Bueno,Milan Havel
AEK Athens ,Greece,Delantero|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Christos Albanis
Shakhtar Donetsk ,Ukraine,Portero,Bueno,Oleksiy Shevchenko
Pohang Steelers ,Serbia,Mediocampista central|Mediocampista ofensivo,Bueno,Aleksandar Palocevic
CFR Cluj ,Romania,Mediocampista defensivo,Bueno,Mihai Bordeianu
Fortuna Sittard ,Moldova,Portero,Bueno,Alexei Koselev
Roma ,Spain,Mediocampista defensivo|Mediocampista central,Muy bueno,Gonzalo Villar
PFC CSKA Moscow ,Slovenia,Mediocampista defensivo,Muy bueno,Jaka Bijol
Club Necaxa ,Argentina,Delantero|Mediocampista lateral,Bueno,Maximiliano Salas
UD Almería ,Spain,Mediocampista lateral,Bueno,Corpas
1. FC Union Berlin ,Germany,Defensa central,Bueno,Keven Schlotterbeck
Grenoble Foot 38 ,Senegal,Delantero,Muy bueno,Moussa Djitté
Chamois Niortais Football Club ,France,Delantero,Bueno,Ibrahim Sissoko
Al Hazem ,Algeria,Portero,Bueno,Malik Asselah
Extremadura UD ,Spain,Defensa lateral|Mediocampista lateral,Bueno,Álex Díez
R. Zaragoza ,Nigeria,Mediocampista lateral (Mediocampista derecho)|Mediocampista central,Bueno,James Igbekeme
Orlando Pirates ,South Africa,Extremo|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Bueno,Vincent Pule
FC Girondins de Bordeaux ,France,Mediocampista central|Mediocampista ofensivo|Delantero central,Muy bueno,Yacine Adli
Club Brugge KV ,Belgium,Delantero|Extremo (Extremo izquierdo),Muy bueno,Ikoma Loïs Openda
Sporting Charleroi ,Iran,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Ali Gholizadeh
CD Tenerife ,Spain,Delantero,Muy bueno,Dani Gómez
R. Zaragoza ,Spain,Mediocampista lateral,Muy bueno,Alberto Soro
Cruz Azul ,Mexico,Defensa central|Mediocampista defensivo,Bueno,Luis Romo
U Craiova 1948 Club Sportiv ,Romania,Defensa lateral (lateral derecha),Bueno,Nicu?or Bancu
LASK Linz ,Brazil,Delantero,Bueno,Klauss
Portimonense SC ,Japan,Defensa lateral|Defensa lateral (lateral derecha),Bueno,Koki Anzai
Jeju United FC ,Costa Rica,Mediocampista central|Mediocampista ofensivo,Bueno,Elías Aguilar
Angers SCO ,France,Defensa lateral (lateral derecha),Muy bueno,Rayan Aït Nouri
Piast Gliwice ,Slovakia,Portero,Bueno,František Plach
Independiente Santa Fe ,Colombia,Delantero,Bueno,Diego Valdés
FC Erzgebirge Aue ,Bosnia & Herzegovina,Defensa central,Bueno,Marko Mihojevic
Sassuolo ,Italy,Defensa central,Bueno,Giangiacomo Magnani
Bologna ,Gambia,Delantero,Muy bueno,Musa Barrow
Yokohama F·Marinos ,Thailand,Defensa lateral (lateral derecha),Bueno,Theerathon Bunmathan
Argentinos Juniors ,Colombia,Delantero|Mediocampista lateral (Mediocampista derecho),Bueno,Edwar López
CD Numancia ,Spain,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,Bueno,Aguado
TSG 1899 Hoffenheim ,Austria,Mediocampista ofensivo|Extremo (Extremo izquierdo),Muy bueno,Christoph Baumgartner
CD Antofagasta ,Venezuela,Mediocampista lateral|Extremo (Extremo derecho),Bueno,Eduard Bello
Kawasaki Frontale ,Japan,Defensa lateral|Mediocampista defensivo,Bueno,Hidemasa Morita
PFC CSKA Moscow ,Croatia,Mediocampista defensivo|Mediocampista central,Muy bueno,Kristijan Bistrovic
Tigres U.A.N.L. ,Ecuador,Mediocampista defensivo|Mediocampista central,Bueno,Jordan Sierra
FC Red Bull Salzburg ,Ghana,Mediocampista central,Bueno,Majeed Ashimeru
Defensa y Justicia ,Argentina,Delantero|Delantero central|Extremo (Extremo derecho),Bueno,Guido Mainero
Cerezo Osaka ,Japan,Delantero|Mediocampista ofensivo,Bueno,Yuta Toyokawa
OGC Nice ,France,Defensa lateral (lateral derecha)|Defensa central,Bueno,Stanley Nsoki
AS Nancy Lorraine ,Cape Verde,Delantero|Mediocampista lateral|Extremo (Extremo izquierdo),Bueno,Vagner
New York City FC ,United States,Mediocampista central,Muy bueno,Keaton Parks
Free Agents ,Egypt,Portero,Bueno,Mohamed Awad
Yeni Malatyaspor ,Tunisia,Mediocampista central|Mediocampista ofensivo,Bueno,Ghaylène Chaalali
Abha Club ,Tunisia,Mediocampista ofensivo|Delantero central,Bueno,Saad Bguir
RC Celta ,Croatia,Mediocampista defensivo|Mediocampista central,Bueno,Filip Bradaric
Sassuolo ,Brazil,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),Bueno,Rogério
Club Atlético Lanús ,Argentina,Mediocampista defensivo|Mediocampista central,Bueno,Tomás Belmonte
América de Cali ,Colombia,Mediocampista central|Mediocampista ofensivo,Muy bueno,Jhon Arias
RC Deportivo ,Spain,Defensa central|Mediocampista defensivo|Mediocampista central,Muy bueno,Nolaskoain
KV Oostende ,Croatia,Defensa central,Bueno,Goran Milovic
Stade Malherbe Caen ,France,Mediocampista defensivo|Mediocampista central,Bueno,Jessy Deminguet
Free Agents ,South Africa,Defensa lateral|Defensa central|Mediocampista defensivo,Bueno,Thamsanqa Mkhize
Feyenoord ,Netherlands,Defensa lateral|Defensa central|Mediocampista defensivo,Muy bueno,Lutsharel Geertruida
Vitesse ,Netherlands,Defensa central,Bueno,Armando Obispo
SC Paderborn 07 ,Nigeria,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),Bueno,Jamilu Collins
R. Oviedo ,Spain,Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Bueno,Borja Sánchez
UD Almería ,Serbia,Defensa central,Bueno,Nikola Maraš
Real Sociedad ,Spain,Defensa lateral,Bueno,Gorosabel
Gazisehir Gaziantep Futbol Kulübü ,Mali,Mediocampista lateral|Mediocampista central|Mediocampista ofensivo,Bueno,Souleymane Diarra
D.C. United ,Venezuela,Mediocampista defensivo|Mediocampista central,Bueno,Júnior Moreno
Gimnasia y Esgrima La Plata ,Argentina,Defensa lateral (lateral derecha),Muy bueno,Matías Melluso
Free Agents ,Paraguay,Mediocampista lateral|Mediocampista central,Bueno,Mathías Villasanti
1. FSV Mainz 05 ,Germany,Defensa lateral|Mediocampista defensivo|Mediocampista central,Muy bueno,Ridle Baku
FC Barcelona ,Netherlands,Mediocampista defensivo|Mediocampista central,Muy bueno,Ludovit Reis
Roma ,Turkey,Defensa central,Muy bueno,Yildirim Mert Çetin
Al Raed ,Morocco,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Mohamed Fouzair
Panathinaikos FC ,Greece,Defensa central,Bueno,Dimitrios Kolovetsios
KV Kortrijk ,Ukraine,Defensa lateral (lateral derecha)|Mediocampista defensivo|Mediocampista central,Bueno,Yevhen Makarenko
Racing Club de Lens ,Mali,Lateral (lateral izquierdo)|Defensa lateral|Extremo (Extremo derecho),Bueno,Cheick Traoré
Club Atlético Banfield ,Uruguay,Delantero,Bueno,Junior Arias
Kaizer Chiefs ,South Africa,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Bueno,Dumisani Zuma
Moreirense FC ,Brazil,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Bueno,Gabrielzinho
Empoli ,Slovenia,Mediocampista defensivo|Mediocampista central,Bueno,Leo Štulac
Olympiacos CFP ,Senegal,Defensa central,Bueno,Ousseynou Ba
Paris FC ,France,Mediocampista defensivo|Mediocampista central,Bueno,Cyril Mandouki
Getafe CF ,Serbia,Portero,Bueno,Filip Manojlovic
Shakhtar Donetsk ,Georgia,Defensa central,Bueno,Davit Khocholava
VfL Bochum 1848 ,Greece,Defensa central,Bueno,Vassilios Lampropoulos
Empoli ,Italy,Mediocampista central|Mediocampista ofensivo,Muy bueno,Davide Frattesi
FC Thun ,Burkina Faso,Delantero|Extremo (Extremo izquierdo),Bueno,Hassane Bandé
LASK Linz ,Austria,Delantero,Bueno,Marko Raguz
Málaga CF ,Spain,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Tete Morente
FC Midtjylland ,Nigeria,Mediocampista defensivo|Mediocampista central,Bueno,Frank Onyeka
AZ ,Netherlands,Mediocampista central|Mediocampista ofensivo,Bueno,Dani de Wit
FC Groningen ,Netherlands,Mediocampista defensivo|Mediocampista central,Bueno,Azor Matusiwa
Sampdoria ,Germany,Defensa central,Bueno,Julian Chabot
Boavista FC ,Gambia,Delantero,Bueno,Yusupha Njie
IFK Göteborg ,Greece,Portero,Bueno,Giannis Anestis
SC Braga ,Spain,Delantero|Extremo (Extremo izquierdo),Muy bueno,Abel Ruiz
En Avant Guingamp ,Cameroon,Defensa central,Bueno,Félix Eboa Eboa
VfB Stuttgart ,Morocco,Delantero,Bueno,Hamadi Al Ghaddioui
DSC Arminia Bielefeld ,France,Defensa lateral|Extremo (Extremo derecho),Bueno,Jonathan Clauss
Football Club de Metz ,Senegal,Delantero|Extremo (Extremo izquierdo),Muy bueno,Ibrahima Niane
Heracles Almelo ,Germany,Mediocampista defensivo|Mediocampista central,Bueno,Orestis Kiomourtzoglou
SpVgg Greuther Fürth ,France,Delantero,Bueno,Daniel Keita-Ruel
Audax Italiano ,Uruguay,Defensa central,Bueno,Manuel Fernández
Gil Vicente FC ,Portugal,Defensa lateral,Bueno,Alex Pinto
SG Dynamo Dresden ,Germany,Portero,Bueno,Kevin Broll
SG Dynamo Dresden ,Germany,Defensa central|Mediocampista defensivo|Mediocampista central,Bueno,Jannis Nikolaou
VfL Osnabrück ,Germany,Defensa central|Mediocampista defensivo,Bueno,Moritz Heyer
FC Luzern ,Kosovo,Mediocampista defensivo|Mediocampista central,Muy bueno,Idriz Voca
Gil Vicente FC ,Portugal,Defensa lateral,Bueno,Fernando Fonseca
Celtic ,Scotland,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Delantero central,Muy bueno,Michael Johnston
BSC Young Boys ,Switzerland,Mediocampista lateral (Mediocampista derecho),Bueno,Marvin Spielmann
Dijon FCO ,Morocco,Defensa lateral (lateral derecha),Bueno,Hamza Mendyl
Swansea City ,England,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,Muy bueno,Conor Gallagher
Godoy Cruz ,Argentina,Defensa lateral|Defensa central,Muy bueno,Gabriel Carrasco
AZ ,Iceland,Mediocampista ofensivo|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Bueno,Albert Gu?mundsson
Cracovia ,Romania,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Sergiu Hanca
Envigado FC ,Colombia,Mediocampista ofensivo,Muy bueno,Yeison Guzmán
Spartak Moscow ,Russia,Mediocampista defensivo|Mediocampista central,Bueno,Ayaz Guliev
Cerezo Osaka ,Japan,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),Bueno,Yusuke Maruhashi
Kawasaki Frontale ,Japan,Defensa central|Mediocampista central|Mediocampista ofensivo,Bueno,Kazuya Yamamura
Kashima Antlers ,Japan,Mediocampista lateral (Mediocampista derecho)|Mediocampista central,Bueno,Ryohei Shirasaki
SV Zulte Waregem ,Tunisia,Extremo (Extremo derecho),Bueno,Bassem Srarfi
MKE Ankaragücü ,Jamaica,Delantero,Bueno,Dever Orgill
Sint-Truidense VV ,Japan,Portero,Bueno,Daniel Schmidt
Rosenborg BK ,Norway,Mediocampista central,Bueno,Kristoffer Zachariassen
KAS Eupen ,DR Congo,Delantero|Mediocampista lateral (Mediocampista derecho),Bueno,Jonathan Bolingi
Standard de Liège ,DR Congo,Defensa central|Mediocampista defensivo,Bueno,Merveille Bokadi
Yokohama F·Marinos ,Japan,Delantero|Delantero central,Bueno,Ado Onaiwu
Gamba Osaka ,Japan,Defensa lateral|Defensa central,Bueno,Genta Miura
CD Lugo ,Ukraine,Defensa lateral (lateral derecha)|Extremo|Extremo (Extremo izquierdo),Muy bueno,Vasyl Kravets
San Jose Earthquakes ,United States,Mediocampista defensivo|Mediocampista central,Bueno,Jackson Yueill
Atlanta United ,United States,Defensa central,Bueno,Miles Robinson
Rionegro Águilas ,Colombia,Delantero,Bueno,Brayan Fernández
FC Dallas ,United States,Defensa lateral,Muy bueno,Reggie Cannon
R. Sporting ,Spain,Mediocampista defensivo|Mediocampista central,Bueno,Cris Salvador
Arsenal ,England,Delantero,Muy bueno,Eddie Nketiah
Fortuna Düsseldorf ,Germany,Mediocampista central|Mediocampista ofensivo,Muy bueno,Aymen Barkok
Racing Club de Lens ,France,Lateral (lateral izquierdo)|Defensa lateral|Extremo (Extremo derecho),Bueno,Clément Michelin
Fútbol Club Juárez ,Uruguay,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),Bueno,Maximiliano Olivera
Levante UD ,Spain,Portero,Bueno,Koke Vegas
Cittadella ,Italy,Delantero|Extremo (Extremo derecho),Bueno,Davide Djily Diaw
Chapecoense ,Brazil,Mediocampista ofensivo,Bueno,Nilson Padilho
Internacional ,Brazil,Mediocampista defensivo,Bueno,Luan Sendeiro
Atlético Mineiro ,Brazil,Defensa lateral,Bueno,Jailson Oliva
Botafogo ,Brazil,Defensa lateral,Bueno,Vinicius Trieiro
SL Benfica ,Russia,Portero,Muy bueno,Ivan Zlobin
RCD Mallorca ,Spain,Defensa lateral|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Muy bueno,Alex Pozo
Godoy Cruz ,Argentina,Delantero|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Muy bueno,Juan Brunetta
D. Alavés ,Spain,Lateral (lateral izquierdo)|Defensa lateral|Extremo (Extremo derecho),Bueno,Rafa Navarro
Millonarios FC ,Paraguay,Mediocampista lateral (Mediocampista derecho),Bueno,Diego Godoy
Genoa ,Italy,Delantero,Muy bueno,Andrea Pinamonti
Sampdoria ,Italy,Defensa lateral|Mediocampista lateral,Bueno,Fabio Depaoli
Perugia ,Romania,Defensa lateral,Bueno,Romario Benzar
Medipol Basaksehir FK ,Turkey,Mediocampista lateral (Mediocampista derecho)|Mediocampista central|Mediocampista ofensivo,Bueno,Berkay Özcan
FC Paços de Ferreira ,Brazil,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Bueno,Murilo
ESTAC Troyes ,France,Delantero|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Bueno,Ihsan Sacko
RC Strasbourg Alsace ,France,Mediocampista defensivo|Mediocampista central,Bueno,Jean-Ricner Bellegarde
Boavista FC ,Brazil,Extremo|Extremo (Extremo izquierdo),Bueno,Marlon
Frosinone ,Italy,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),Bueno,Andrea Beghetto
Asocia?ia Fotbal Club Astra Giurgiu ,Romania,Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo|Extremo (Extremo derecho),Bueno,Valentin Gheorghe
CD Tenerife ,Spain,Defensa lateral,Bueno,Luis Pérez
Moreirense FC ,Serbia,Defensa central,Bueno,Lazar Rosic
Once Caldas ,Colombia,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,Bueno,Sebastián Hernández
Nottingham Forest ,France,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Bueno,Adama Diakhaby
Al Fayha ,Ghana,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),Bueno,Samuel Owusu
Albacete BP ,Argentina,Defensa central,Bueno,Nicolás Gorosito
FC Red Bull Salzburg ,France,Mediocampista defensivo|Mediocampista central,Muy bueno,Antoine Bernede
CD Leganés ,Spain,Portero,Bueno,Soriano
Albacete BP ,Spain,Defensa lateral,Bueno,Alberto Benito
Hokkaido Consadole Sapporo ,Korea Republic,Portero,Bueno,Gu Sung Yun
FC Basel 1893 ,Switzerland,Mediocampista ofensivo,Bueno,Samuele Campo
RSC Anderlecht ,Netherlands,Defensa central,Bueno,Philippe Sandler
Rio Ave FC ,Guinea Bissau,Defensa lateral,Bueno,Nadjack
Club Atlético de San Luis ,Mexico,Defensa lateral (lateral derecha),Bueno,Luis Reyes
FC Porto ,Portugal,Portero,Muy bueno,Diogo Costa
FC Nordsjælland ,Denmark,Mediocampista central|Delantero central,Bueno,Mikkel Rygaard
FC Schalke 04 ,Germany,Portero,Muy bueno,Markus Schubert
Motherwell ,Scotland,Mediocampista central|Mediocampista ofensivo,Muy bueno,David Turnbull
Sampdoria ,Argentina,Mediocampista ofensivo|Extremo (Extremo izquierdo),Muy bueno,Gonzalo Maroni
Brescia ,Venezuela,Defensa central,Bueno,Jhon Chancellor
Centro Sportivo Alagoano ,Brazil,Mediocampista ofensivo,Bueno,Allan Ardaújo
Internacional ,Brazil,Portero,Bueno,Jairo Farnias
Ceará Sporting Club ,Brazil,Defensa lateral,Bueno,Jony Reitosa
Guadalajara ,Mexico,Defensa lateral (lateral derecha),Bueno,Cristian Calderón
Olympiacos CFP ,Argentina,Delantero|Mediocampista lateral|Mediocampista ofensivo,Bueno,Maximiliano Lovera
Sporting Charleroi ,Senegal,Mediocampista lateral,Bueno,Mamadou Fall
Moreirense FC ,Belgium,Defensa lateral|Defensa lateral (lateral derecha),Bueno,Anthony D'Alberto
KRC Genk ,Colombia,Defensa central|Mediocampista defensivo,Muy bueno,Carlos Cuesta
Fortuna Düsseldorf ,Germany,Defensa central,Bueno,Robin Bormuth
Guadalajara ,Mexico,Mediocampista lateral (Mediocampista derecho),Bueno,Jesús Angulo
FC Augsburg ,Nigeria,Mediocampista lateral,Bueno,Noah Joel Sarenren Bazee
Lech Poznan ,Poland,Defensa lateral,Muy bueno,Robert Gumny
Guadalajara ,Mexico,Delantero|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Muy bueno,Alexis Vega
Argentinos Juniors ,Argentina,Defensa lateral|Defensa lateral (lateral derecha),Muy bueno,Kevin Mac Allister
Lech Poznan ,Poland,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Muy bueno,Kamil Józwiak
F.C. Tokyo ,Japan,Defensa lateral,Bueno,Sei Muroya
Oita Trinita ,Japan,Portero,Bueno,Shun Takagi
Kawasaki Frontale ,Japan,Defensa lateral (lateral derecha),Bueno,Shintaro Kurumaya
Club Tijuana ,Colombia,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,Bueno,Christian Rivera
Godoy Cruz ,Argentina,Mediocampista defensivo|Mediocampista central,Bueno,Juan Andrada
Jeonbuk Hyundai Motors ,Japan,Delantero|Mediocampista lateral (Mediocampista derecho)|Mediocampista central,Bueno,Takahiro Kunimoto
RC Deportivo ,Japan,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,Bueno,Gaku Shibasaki
Yokohama F·Marinos ,Japan,Mediocampista lateral,Bueno,Kota Mizunuma
Yokohama F·Marinos ,Japan,Mediocampista defensivo|Mediocampista central,Bueno,Takuya Kida
Waasland-Beveren ,Japan,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,Bueno,Yuki Kobayashi
Columbus Crew SC ,Argentina,Defensa lateral (lateral derecha),Muy bueno,Milton Valenzuela
Royal Antwerp FC ,Norway,Defensa lateral (lateral derecha),Bueno,Simen Juklerød
Nagoya Grampus ,Japan,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Bueno,Hiroyuki Abe
Club Atlético Huracán ,Argentina,Defensa lateral|Defensa central,Bueno,Nicolás Romat
Sanfrecce Hiroshima ,Japan,Defensa lateral (lateral derecha)|Defensa central,Bueno,Sho Sasaki
Hokkaido Consadole Sapporo ,Korea Republic,Defensa central,Bueno,Kim Min Tae
KSV Cercle Brugge ,Greece,Defensa central,Bueno,Dimitris Chatziisaias
Gil Vicente FC ,Brazil,Extremo (Extremo izquierdo),Bueno,Arthur Henrique
FC Dallas ,Colombia,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Santiago Mosquera
New York City FC ,Costa Rica,Defensa lateral (lateral derecha)|Extremo|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),Bueno,Ronald Matarrita
Legia Warszawa ,Guinea,Delantero,Bueno,José Kanté
Al Wehda ,France,Delantero,Bueno,Youssoufou Niakaté
Portland Timbers ,Poland,Delantero,Bueno,Jaroslaw Niezgoda
Deportes Tolima ,Colombia,Defensa central,Bueno,José Moya
FC Seoul ,Korea Republic,Mediocampista central|Mediocampista ofensivo,Bueno,Han Chan Hee
Molde FK ,Norway,Mediocampista defensivo|Mediocampista central,Bueno,Fredrik Aursnes
Independiente Medellín ,Colombia,Delantero|Mediocampista lateral,Bueno,Leonardo Castro
FC Utrecht ,Netherlands,Defensa central,Muy bueno,Justin Hoogma
CD Numancia ,Spain,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Curro Sánchez
1. FSV Mainz 05 ,France,Defensa lateral|Defensa lateral (lateral derecha),Muy bueno,Ronaël Pierre-Gabriel
Watford ,Venezuela,Delantero|Mediocampista ofensivo|Extremo (Extremo izquierdo),Bueno,Adalberto Peñaranda
SD Huesca ,Spain,Defensa lateral (lateral derecha)|Extremo|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),Bueno,Javi Galán
Leicester City ,England,Defensa lateral|Defensa lateral (lateral derecha),Muy bueno,James Justin
Unión de Santa Fe ,Argentina,Defensa lateral|Defensa central,Bueno,Brian Blasi
CA Osasuna ,Spain,Delantero|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,José Arnáiz
KRC Genk ,Belgium,Defensa lateral|Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),Bueno,Casper De Norre
FC St. Gallen 1879 ,Switzerland,Defensa lateral|Defensa central,Muy bueno,Silvan Hefti
RC Strasbourg Alsace ,France,Mediocampista central,Bueno,Ibrahima Sissoko
Cosenza ,Uruguay,Delantero|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Bueno,Jaime Stabile Báez
Lecce ,Italy,Defensa lateral (lateral derecha)|Defensa central,Bueno,Cristian Dell'Orco
1. FSV Mainz 05 ,Nigeria,Delantero,Bueno,Taiwo Awoniyi
KV Kortrijk ,Comoros,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),Bueno,Faïz Selemani
Holstein Kiel ,Germany,Defensa central,Bueno,Hauke Wahl
Bristol City ,Portugal,Lateral (lateral izquierdo)|Defensa lateral|Mediocampista lateral|Extremo (Extremo derecho),Muy bueno,Pedro Pereira
FC Barcelona ,lbania,Delantero,Bueno,Rey Manaj
CD Tondela ,Spain,Mediocampista defensivo|Mediocampista central,Muy bueno,Pepelu
Birmingham City ,England,Defensa central,Bueno,Jake Clarke-Salter
Besiktas JK ,Turkey,Delantero,Bueno,Umut Nayir
Cruzeiro ,Brazil,Delantero|Delantero central,Bueno,Sevinho Santos
Club Athletico Paranaense ,Brazil,Delantero|Extremo (Extremo izquierdo),Bueno,Adão Salvadaldo
Avaí ,Brazil,Delantero|Mediocampista ofensivo,Bueno,Diogildo Peixe
Grêmio ,Brazil,Mediocampista ofensivo|Extremo (Extremo derecho),Bueno,Raphael Paneira
Bahia ,Brazil,Mediocampista central|Mediocampista ofensivo,Bueno,Macarinho Louro
Botafogo ,Brazil,Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,Bueno,Renaldo Justinho
Flamengo ,Brazil,Mediocampista lateral|Extremo (Extremo derecho),Bueno,Leôncio Lobeiro
Fortaleza ,Brazil,Mediocampista defensivo|Mediocampista lateral|Mediocampista central,Bueno,Ansel Barnisco
Fortaleza ,Brazil,Defensa central,Bueno,Lourival Dinisco
Palmeiras ,Brazil,Mediocampista lateral,Bueno,Natinho Mestres
Chapecoense ,Brazil,Defensa lateral|Defensa central,Bueno,Barbosaldinho
Internacional ,Brazil,Defensa central,Bueno,Eltson Marques
Ceará Sporting Club ,Brazil,Defensa central,Bueno,Milton Menceiros
Vasco da Gama ,Brazil,Mediocampista central|Mediocampista ofensivo,Bueno,Bruno Fagundeiro
Cruzeiro ,Brazil,Defensa lateral|Mediocampista lateral,Bueno,Bernardo Motinho
