Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Science Fiction, Adventure",en,2021-09-15,7.9,exclusive; destiny; planet's,Dune
"Fantasy, Adventure, Comedy",ru,2021-01-01,7.1,tranquility; return; gap,The Last Warrior: Root of Evil
Horror,de,2022-02-09,5.1,series; elite; conspiracy,The Privilege
Horror,en,2021-06-11,6.4,ritual; teenagers; queen,Queen of Spades
"Drama, Horror, Mystery",en,2021-10-28,6.4,frightening; teacher; oregon,Antlers
"Action, Thriller",en,2021-11-05,6.4,vengeance; sociopath; gang,Dangerous
"Romance, Drama",en,2021-09-01,7.2,she's; nothing; secret,After We Fell
"Adventure, Action, Thriller",en,2021-09-29,7.5,short-lived; leiter; onto,No Time to Die
"Action, Crime, Thriller",hi,2021-11-05,5.8,attack; city; veer,Sooryavanshi
"Science Fiction, Drama, Adventure",en,2021-11-04,8.1,post-apocalyptic; earth; learns,Finch
"Thriller, Horror",es,2021-07-23,5.4,naked; attached; abdomens,Two
"Animation, Family, Adventure, Comedy",en,2021-08-09,7.5,bustling; chaos; turning,PAW Patrol: The Movie
"Adventure, Action, Science Fiction",en,2018-04-25,8.3,everything; itself; reality,Avengers: Infinity War
"Fantasy, Action",en,1989-06-23,7.2,"madman; ""the; seizes",Batman
"Action, Adventure, Science Fiction",en,2021-07-07,7.5,past; bring; confronts,Black Widow
"Animation, Comedy",en,2022-02-18,5.7,mickey; magical; journey,The Wonderful Winter of Mickey Mouse
"Action, Crime, Thriller, Adventure",en,2021-05-19,7.3,crew; driver; high-performance,F9
"Action, Adventure, Science Fiction",en,2022-02-03,5.9,earth; hurtling; sends,Moonfall
"Comedy, Drama",es,2022-02-04,2.2,battlefield; trigger; were,"Sex, Shame and Tears 2"
"Animation, Comedy, Family",en,2021-12-03,6.5,heffley; rich; survive,Diary of a Wimpy Kid
"Comedy, Romance, Science Fiction",th,2022-02-15,5.3,real; real; powered,AI Love You
"Action, Science Fiction, Comedy, Family",en,2022-03-30,0.0,eager; hero; embark,Sonic the Hedgehog 2
"Mystery, Family",en,2022-02-17,5.7,magical; monstrous; film,Erax
"Animation, Action, Adventure, Science Fiction",en,2020-08-04,6.9,hive; wrath; jackal,Deathstroke: Knights & Dragons - The Movie
"Action, Drama, History",en,2021-10-13,7.6,king; dispute; challenging,The Last Duel
"Action, Adventure, Comedy, History",ko,2022-01-26,6.6,clues; lost; battle,The Pirates: The Last Royal Treasure
"Horror, Mystery, Thriller",en,2021-10-29,6.5,heads; following; community,Paranormal Activity: Next of Kin
"Drama, Crime, Thriller",en,2021-11-24,6.8,humble; decadence; triggers,House of Gucci
"Romance, Horror, Thriller",ru,2021-02-11,6.7,black; husband; magic,Dark Spell
"Action, Adventure, Comedy, Fantasy",en,2021-07-28,7.6,lily; dilapidated; skipper,Jungle Cruise
"Action, Fantasy, Science Fiction",en,2021-03-24,7.8,battle; earth; fight,Godzilla vs. Kong
"Action, Adventure, Fantasy",en,2012-06-23,6.7,high; connors'; partner,The Amazing Spider-Man
"Romance, Crime",en,2022-02-17,5.6,until; teenagers; future,Heart Shot
"Action, Adventure, Fantasy, Science Fiction",en,2009-12-10,7.5,civilization; marine; alien,Avatar
"Animation, Action, Drama, Science Fiction",ja,2021-06-11,7.8,char's; alters; earth,Mobile Suit Gundam Hathaway
"Crime, Comedy",en,2021-10-27,6.9,zombie; dieter; bank,Army of Thieves
"Drama, Romance",tr,2022-02-23,5.2,student; aspiring; path,UFO
"Thriller, Mystery",en,2022-03-03,5.9,yields; friend; vanishes,The Weekend Away
"Animation, Family, Adventure, Fantasy, Comedy",en,2020-11-25,7.6,start; bettermans; embrace,The Croods: A New Age
"Animation, Family, Adventure, Comedy",en,2021-12-03,7.7,locked; they’ll; like,Back to the Outback
"Action, Science Fiction, Adventure",en,2021-07-02,8.0,future; urgent; determined,The Tomorrow War
"Family, Comedy",en,2022-01-28,6.9,warner; goes; football,Home Team
Drama,en,2021-03-17,7.4,journey; bond; navigate,The Fallout
"Family, Fantasy, Animation, Action, Adventure",en,2021-03-03,8.0,same; later; raya,Raya and the Last Dragon
"Science Fiction, Action, Thriller",en,2021-09-09,6.8,secret; “infinites”; evan,Infinite
"Action, Crime, Thriller",en,2021-04-22,7.7,guard; clear; wondering,Wrath of Man
"Crime, Action, Thriller",en,2021-12-17,6.2,balzary; retired; breach,Fortress
"Family, Animation, Comedy, Science Fiction",en,2021-07-08,7.1,digital; lebron; bunny,Space Jam: A New Legacy
"TV Movie, Mystery, Thriller, Comedy",es,2022-01-13,7.3,case:; 24; ortiz,Laura y el misterio del asesino inesperado
"Horror, Mystery, Thriller",en,2021-05-25,7.7,suspect; would; boy,The Conjuring: The Devil Made Me Do It
"Action, Crime, Drama",en,2005-06-10,7.7,system; gotham; work,Batman Begins
"Romance, Comedy",en,2022-01-20,6.8,thomas; prince; izzy,The Royal Treatment
"Animation, Comedy, Family, Fantasy",en,2021-11-12,7.5,best; wants; massimo,Ciao Alberto
"TV Movie, Thriller, Crime",en,2021-06-05,7.8,jennifer; vanished; dulos,Gone Mom: The Disappearance of Jennifer Dulos
Horror,en,2021-06-28,6.6,horrific; secret; -,Ripper Untold
"Horror, Science Fiction, Drama, Thriller",fr,2021-05-26,6.1,8; every; lisa,Meander
"Thriller, War",en,2021-11-18,5.3,blown; seeks; bits,Zeros and Ones
"Action, Adventure",en,2021-07-22,6.8,arashikage; ways; tenacious,Snake Eyes: G.I. Joe Origins
"Action, Thriller, Crime",en,2021-10-08,5.8,eric; gone; wrong,Survive the Game
"Animation, Fantasy, Music, Adventure, Comedy, Family",en,2021-05-28,5.2,celebration; megaloceros; teach,Riverdance: The Animated Adventure
"Action, Thriller, Science Fiction",en,2021-11-12,5.4,freedom; ex-cop; breaks,Apex
"Documentary, Crime",en,2022-02-02,7.1,conned; some; victims,The Tinder Swindler
"Romance, Comedy",tr,2022-02-11,6.7,make; fashion; don't,Love Tactics
"Animation, Adventure, Comedy, Family",en,2021-10-01,7.2,run-ins; themselves; adventures,The Addams Family 2
"Action, Adventure, Fantasy",cn,2021-04-27,6.5,han; court; controls,Dynasty Warriors
"Animation, Comedy, Family, Adventure",fr,2021-05-15,7.9,meet; allows; marinette,Miraculous World: Shanghai – The Legend of Ladydragon
"Animation, Family, Comedy, Adventure, TV Movie",fr,2020-11-21,8.3,super-villain; noir; discover,"Miraculous World: New York, United HeroeZ"
Documentary,en,2022-03-03,6.9,desert; kalahari; prides,Surviving Paradise: A Family Tale
"Animation, Action, Fantasy, Adventure",ja,2019-12-20,8.4,peaceful; hero; villain,My Hero Academia: Heroes Rising
"War, History, Drama",en,2021-11-04,6.5,skills; utilize; nigeria,Amina
"Adventure, Drama",en,2021-12-03,6.4,behind; threat; rescue,Encounter
"Horror, Thriller",en,2021-08-06,6.0,contracts; illness; far,Son
"Action, Adventure, Fantasy",en,2020-12-16,6.6,global; jeopardy; ancient,Wonder Woman 1984
"Action, Adventure, Fantasy",en,2014-04-16,6.5,protect; keep; promise,The Amazing Spider-Man 2
Horror,th,2021-12-02,6.5,incidents; stumble; sinister,The Whole Truth
"Animation, Action, Crime",en,2022-02-07,6.2,priceless; consortium; attempt,Catwoman: Hunted
"Drama, History, War",en,2016-10-07,8.2,medic; congressional; desmond,Hacksaw Ridge
Action,zh,2021-05-06,7.3,dies; prominent; mma,Crazy Fist
"Adventure, Fantasy",en,2001-11-16,7.9,under; he's; blame,Harry Potter and the Philosopher's Stone
"Science Fiction, Action, Adventure",en,2012-04-25,7.7,peacekeeping; recruitment; global,The Avengers
"Horror, Fantasy, Mystery",en,2021-06-15,6.1,soldiers; investigate; looking,Dragon Fury
"Horror, Drama",es,2021-07-29,5.1,sara; marital; forest,Tarumama
"Action, Adventure, Fantasy, Science Fiction",en,2016-10-25,7.4,evil; arrogant; under,Doctor Strange
"Horror, Thriller",en,2021-10-14,6.8,form; reign; residents,Halloween Kills
Horror,en,2022-02-10,5.6,opportunity; local; priest,The Exorcism of God
"Action, Adventure, Science Fiction",en,2019-06-28,7.5,hardly; nick; destruction,Spider-Man: Far From Home
Documentary,en,2022-01-01,8.0,franchises; enchanting; magical,Harry Potter 20th Anniversary: Return to Hogwarts
"Romance, Drama",en,2020-09-02,7.3,forever; could; herself,After We Collided
Thriller,en,2022-02-17,5.8,shooter; child; place,The Desperate Hour
"Action, Animation, Science Fiction",ja,2015-04-18,6.8,remnants; frieza; frieza's,Dragon Ball Z: Resurrection 'F'
"Animation, Family, Comedy",en,2021-10-28,7.1,neighborhood; these; whip,Seal Team
"Action, Mystery, Science Fiction, Thriller",en,2009-03-19,6.1,believe; chilling; some,Knowing
"Fantasy, Horror, Thriller, Drama",en,2021-10-01,7.2,law; sheltered; face,Witch Hunt
"Action, Mystery, Science Fiction, Thriller",en,2014-09-10,7.2,thomas; memory; they're,The Maze Runner
Horror,en,2021-03-31,6.8,journalist; sinister; career,The Unholy
"Action, Adventure, Thriller",ko,2019-12-19,6.6,mythical; peninsula; majestic,Ashfall
"Drama, Romance, Music",en,2022-02-11,5.8,lennie; between; sister,The Sky Is Everywhere
"Romance, Drama",en,2021-09-09,6.2,physics; accident; reclaim,Time Is Up
Horror,en,2021-06-30,6.5,alone; french; deep,The Deep House
"Animation, Action, Comedy",ja,2015-08-07,7.7,however; seventh; apprentice!?,Boruto: Naruto the Movie
"Adventure, Fantasy",en,2002-11-13,7.7,magical; start; potter,Harry Potter and the Chamber of Secrets
"Action, Science Fiction, Comedy, Family",en,2020-02-12,7.4,plans; planet; sonic,Sonic the Hedgehog
"Family, Animation, Fantasy, Music, Comedy, Adventure",en,2017-10-27,8.2,along; musician; chain,Coco
Drama,fr,2017-06-21,6.0,ava; ava; than,Ava
"War, Drama, Action",en,2014-10-15,7.5,months; behind; last,Fury
"Thriller, Horror",en,2021-08-12,7.4,several; kidnap; blind,Don't Breathe 2
"Action, Comedy, Adventure",es,2021-10-01,7.8,"-mascarita-; precious; ""the",Matando Cabos 2: La Máscara del Máscara
"Action, Fantasy, Adventure",en,2020-12-03,6.8,monsters; cpt; relentless,Monster Hunter
"Action, Romance, Animation",ja,2014-12-06,7.9,toneri; gedo; hinata,The Last: Naruto the Movie
"Action, Adventure, Science Fiction, Drama",en,2017-07-05,7.4,city; tony; superhero,Spider-Man: Homecoming
"Science Fiction, Comedy",fr,2022-02-11,5.4,ceded; stage; even,Bigbug
"Fantasy, Action",en,2002-05-01,7.2,altered; student; bitten,Spider-Man
"Adventure, Science Fiction, Action",en,2019-04-24,8.3,universe; order; mad,Avengers: Endgame
"Thriller, Mystery, Horror",en,2021-07-21,6.6,entire; reducing; day,Old
"Action, Science Fiction, Drama",en,2011-09-28,6.9,charlie; ring; unlikely,Real Steel
"Romance, Comedy",ko,2022-02-11,6.3,play; hurt; good,Love and Leashes
"Romance, Drama",en,2019-04-11,7.2,tessa's; high; herself,After
"Horror, Action, Thriller",en,2021-06-30,7.3,marauders; historical; end,The Forever Purge
"Comedy, Drama, Romance",en,2022-02-11,6.0,"""stand; causing; start",Tall Girl 2
"Drama, Comedy",en,2022-02-17,8.3,along; road; army,Dog
"Drama, Science Fiction, Thriller",en,2007-12-12,7.2,radio; sent; incurable,I Am Legend
