timestamp,id,evento,usuarie,estado,texto_ingresado,respuesta,nivel
1655489653.92501,11,intento,usuarieUWU,error,Lago Huechulafquen,Lago Epuyén,Facil
1655489654.236627,11,intento,usuarieUWU,error,Lago Quiroga Chico,Lago San Martín,Facil
1655489654.724766,11,intento,usuarieUWU,error,Lago Meliquina,Lago General Vintter,Facil
1655489654.724766,11,fin,usuarieUWU,finalizado,-,-,Facil
1655489706.991433,12,inicio_partida,usuarieUWU,nueva,-,-,Facil
1655489708.79914,12,intento,usuarieUWU,error,Lago Currhué,Lago Burmeister,Facil
1655489709.022235,12,intento,usuarieUWU,ok,Lago Nahuel Huapi,Lago Nahuel Huapi,Facil
1655489709.278488,12,intento,usuarieUWU,ok,Lago Blanco,Lago Blanco,Facil
1655489709.53561,12,intento,usuarieUWU,error,Lago Falkner,Lago Epecuén,Facil
1655489710.742497,12,intento,usuarieUWU,error,Lago General Vintter,Lago Menéndez,Facil
1655489710.742497,12,fin,usuarieUWU,finalizado,-,-,Facil
1655489744.704887,13,inicio_partida,usuarieUWU,nueva,-,-,Facil
1655489745.392485,13,intento,usuarieUWU,error,Lago Moquehue,Lago Pellegrini,Facil
1655489745.680403,13,intento,usuarieUWU,error,Lago Tromen,Lago Fontana,Facil
1655489746.000647,13,intento,usuarieUWU,error,Lago Quillén,Lago Cholila,Facil
1655489746.208614,13,intento,usuarieUWU,error,Lago Epuyén,Lago San Martín,Facil
1655489746.60058,13,intento,usuarieUWU,ok,Lago Quillén,Lago Quillén,Facil
1655489746.60058,13,fin,usuarieUWU,finalizado,-,-,Facil
1655489758.151753,14,inicio_partida,usuarieUWU,nueva,-,-,Facil
1655489775.776624,14,intento,usuarieUWU,error,Lago Tar,Lago Strobel,Facil
1655489777.760923,14,intento,usuarieUWU,error,Lago Lácar,Lago Pico Nº 1,Facil
1655489778.096749,14,intento,usuarieUWU,error,Lago Ghío,Lago Aluminé,Facil
1655489778.424633,14,intento,usuarieUWU,ok,Lago Lácar,Lago Lácar,Facil
1655489778.769452,14,intento,usuarieUWU,error,Lago Traful,Lago Yehuin,Facil
1655489778.769452,14,fin,usuarieUWU,finalizado,-,-,Facil
1655489826.907629,15,inicio_partida,usuarieUWU,nueva,-,-,Facil
1655489827.850192,15,intento,usuarieUWU,ok,Lago Espejo,Lago Espejo,Facil
1655489828.202684,15,intento,usuarieUWU,error,Lago Río Bueno,Lago Strobel,Facil
1655489828.587141,15,intento,usuarieUWU,error,Lago San Martín,Lago Rivadavia,Facil
1655489828.971224,15,intento,usuarieUWU,error,Lago Perito Moreno,Lago Menéndez,Facil
1655489829.426585,15,intento,usuarieUWU,error,Lago Nahuel Huapi,Lago Paimún,Facil
1655489829.426585,15,fin,usuarieUWU,finalizado,-,-,Facil
1655489839.55587,16,inicio_partida,usuarieUWU,nueva,-,-,Facil
1655489840.763597,16,intento,usuarieUWU,error,Lago Futalaufquen,Lago Onelli,Facil
1655489841.155101,16,intento,usuarieUWU,ok,Lago Viedma,Lago Viedma,Facil
1655489841.44365,16,intento,usuarieUWU,error,Lago Aluminé,Lago Tromen,Facil
1655489841.715506,16,intento,usuarieUWU,ok,Lago Burmeister,Lago Burmeister,Facil
1655489842.291158,16,intento,usuarieUWU,error,Lago Río Chico,Lago Falkner,Facil
1655489842.291158,16,fin,usuarieUWU,finalizado,-,-,Facil
1655489926.623544,17,inicio_partida,usuarieUWU,nueva,-,-,Facil
1655489949.518633,17,intento,usuarieUWU,error,Lago Epecuén,Lago Lolog,Facil
1655489949.702697,17,intento,usuarieUWU,error,Lago Epuyén,Lago Argentino,Facil
1655489949.879444,17,intento,usuarieUWU,error,Lago Strobel,Lago Quiroga Chico,Facil
1655489950.302642,17,intento,usuarieUWU,ok,Lago Perito Moreno,Lago Perito Moreno,Facil
1655489950.727424,17,intento,usuarieUWU,error,Lago Onelli,Lago Río Bueno,Facil
1655489950.727424,17,fin,usuarieUWU,finalizado,-,-,Facil
1655489968.991632,18,inicio_partida,usuarieUWU,nueva,-,-,Facil
1655489970.024041,18,intento,usuarieUWU,error,Lago Nansen,Lago Futalaufquen,Facil
