,TEAM,NATIONALITY,POSITION,AGE,POTENTIAL,NAME
69,Paris Saint-Germain ,Argentina,Delantero,27,Muy bueno,Mauro Icardi
70,Napoli ,Italy,Mediocampista lateral (Mediocampista derecho)|Delantero central|Extremo (Extremo izquierdo),29,Muy bueno,Lorenzo Insigne
71,Atlético Madrid ,Spain,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista central,28,Muy bueno,Koke
72,Inter ,Belgium,Delantero,27,Muy bueno,Romelu Lukaku
73,FC Bayern München ,Spain,Mediocampista defensivo|Mediocampista central,29,Muy bueno,Thiago
74,FC Barcelona ,Spain,Defensa lateral (lateral derecha),31,Muy bueno,Jordi Alba
75,Juventus ,Italy,Defensa central,33,Muy bueno,Leonardo Bonucci
76,Tottenham Hotspur ,Belgium,Defensa central,31,Muy bueno,Toby Alderweireld
77,Juventus ,Bosnia & Herzegovina,Mediocampista defensivo|Mediocampista central,30,Muy bueno,Miralem Pjanic
78,Paris Saint-Germain ,Uruguay,Delantero,33,Muy bueno,Edinson Cavani
79,Borussia Mönchengladbach ,Switzerland,Portero,31,Muy bueno,Yann Sommer
80,Atalanta ,Argentina,Delantero|Mediocampista ofensivo|Delantero central,32,Muy bueno,Alejandro Gómez
81,Juventus ,Netherlands,Defensa central,20,Sobresaliente,Matthijs de Ligt
82,Manchester City ,Spain,Mediocampista defensivo|Mediocampista central,24,Muy bueno,Rodri
83,Liverpool ,England,Defensa lateral,21,Sobresaliente,Trent Alexander-Arnold
84,FC Barcelona ,Brazil,Mediocampista central,23,Sobresaliente,Arthur
85,Milan ,Italy,Portero,21,Sobresaliente,Gianluigi Donnarumma
86,Ajax ,Cameroon,Portero,24,Muy bueno,André Onana
87,Lazio ,Serbia,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,25,Sobresaliente,Sergej Milinkovic-Savic
88,Real Betis ,France,Delantero|Mediocampista lateral|Mediocampista ofensivo,27,Muy bueno,Nabil Fekir
89,Atlético Madrid ,Uruguay,Defensa central,25,Muy bueno,José María Giménez
90,FC Bayern München ,Germany,Defensa central,24,Sobresaliente,Niklas Süle
91,Atlético Madrid ,Spain,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho)|Mediocampista central,25,Muy bueno,Saúl
92,FC Bayern München ,Germany,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo derecho),25,Muy bueno,Serge Gnabry
93,FC Barcelona ,France,Defensa central,26,Muy bueno,Samuel Umtiti
94,Real Madrid ,Spain,Defensa lateral,28,Muy bueno,Carvajal
95,Lazio ,Spain,Mediocampista central|Mediocampista ofensivo|Delantero central,27,Muy bueno,Luis Alberto
96,Inter ,Netherlands,Defensa central,28,Muy bueno,Stefan de Vrij
97,SL Benfica ,Portugal,Mediocampista lateral|Mediocampista central,30,Muy bueno,Pizzi
98,Real Madrid ,Spain,Mediocampista central|Mediocampista ofensivo|Extremo (Extremo izquierdo),28,Muy bueno,Isco
99,RC Celta ,Spain,Delantero|Extremo (Extremo derecho),32,Muy bueno,Iago Aspas
100,Arsenal ,Germany,Portero,28,Muy bueno,Bernd Leno
101,FC Bayern München ,Germany,Mediocampista lateral|Mediocampista ofensivo|Extremo (Extremo derecho),30,Muy bueno,Thomas Müller
102,FC Bayern München ,Brazil,Mediocampista central|Mediocampista ofensivo|Extremo (Extremo izquierdo),28,Muy bueno,Coutinho
103,Borussia Dortmund ,Switzerland,Portero,29,Muy bueno,Roman Bürki
104,Guangzhou Evergrande Taobao FC ,Brazil,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,32,Muy bueno,Paulinho
105,RB Leipzig ,Hungary,Portero,30,Muy bueno,Péter Gulácsi
106,Liverpool ,England,Mediocampista defensivo|Mediocampista central,30,Muy bueno,Jordan Henderson
107,Liverpool ,Netherlands,Mediocampista defensivo|Mediocampista central,29,Muy bueno,Georginio Wijnaldum
