Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Action, Mystery, Science Fiction, Thriller",en,2014-09-10,7.2,escape; trapped; fellow,The Maze Runner
Horror,en,2021-03-31,6.8,virgin; far; question,The Unholy
"Action, Adventure, Thriller",ko,2019-12-19,6.6,mythical; erupts; peninsula,Ashfall
"Drama, Romance, Music",en,2022-02-11,5.8,lennie; heart; vivid,The Sky Is Everywhere
"Romance, Drama",en,2021-09-09,6.2,vivien; roy; accident,Time Is Up
Horror,en,2021-06-30,6.5,youtubers; worst; deep,The Deep House
"Animation, Action, Comedy",ja,2015-08-07,7.7,ninja; naruto; however,Boruto: Naruto the Movie
"Adventure, Fantasy",en,2002-11-13,7.7,fly; second; require,Harry Potter and the Chamber of Secrets
"Action, Science Fiction, Comedy, Family",en,2020-02-12,7.4,planet; based; liveaction,Sonic the Hedgehog
"Family, Animation, Fantasy, Music, Comedy, Adventure",en,2017-10-27,8.2,hector; desperate; de,Coco
Drama,fr,2017-06-21,6.0,spend; summer; learns,Ava
"War, Drama, Action",en,2014-10-15,7.5,nazi; allies; last,Fury
"Thriller, Horror",en,2021-08-12,7.4,quiet; house; devastating,Don't Breathe 2
"Action, Comedy, Adventure",es,2021-10-01,7.8,amends; past; memory,Matando Cabos 2: La Máscara del Máscara
"Action, Fantasy, Adventure",en,2020-12-03,6.8,may; monsters; soldiers,Monster Hunter
"Action, Romance, Animation",ja,2014-12-06,7.9,descendant; finding; mount,The Last: Naruto the Movie
"Action, Adventure, Science Fiction, Drama",en,2017-07-05,7.4,student; crime; america:,Spider-Man: Homecoming
"Science Fiction, Comedy",fr,2022-02-11,5.4,2045; lock; ai,Bigbug
"Fantasy, Action",en,2002-05-01,7.2,known; altered; amazing,Spider-Man
"Adventure, Science Fiction, Action",en,2019-04-24,8.3,mad; restore; universe,Avengers: Endgame
"Thriller, Mystery, Horror",en,2021-07-21,6.6,families; staying; beach,Old
"Action, Science Fiction, Drama",en,2011-09-28,6.9,robots; retired; robot,Real Steel
"Romance, Comedy",ko,2022-02-11,6.3,partners; never; pain,Love and Leashes
"Romance, Drama",en,2019-04-11,7.2,brooding; question; entering,After
"Horror, Action, Thriller",en,2021-06-30,7.3,does; end; never,The Forever Purge
"Comedy, Drama, Romance",en,2022-02-11,6.0,around; rifts; start,Tall Girl 2
"Drama, Comedy",en,2022-02-17,8.3,army; pacific; coast,Dog
"Drama, Science Fiction, Thriller",en,2007-12-12,7.2,spread; stop; there,I Am Legend
"Animation, Action, Fantasy",ja,2007-08-04,7.2,thus; revived; kill,Naruto Shippuden the Movie
"Comedy, Family, Animation",en,2021-02-10,7.0,fancy; lose; york,Tom & Jerry
"Adventure, History, Drama",en,2022-02-10,7.0,fight; denmark; they're,Against the Ice
"Animation, Comedy",es,2021-08-12,8.1,taken; away; children,An Egg Rescue
"Adventure, Fantasy, Family",en,2005-11-16,7.8,schools—the; name; water,Harry Potter and the Goblet of Fire
"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance",ja,2021-02-11,8.1,rapidly; age; care,Pretty Guardian Sailor Moon Eternal The Movie Part 2
"Horror, Thriller",en,2021-07-29,4.8,terrifying; ruthlessly; mother,Demonic
"Animation, Family",en,2021-11-24,8.1,northwest; raccoon; pacific,Far From the Tree
"Horror, Thriller, Adventure, Mystery",en,2020-07-09,5.1,abseil; cave; dangerous,Black Water: Abyss
"Animation, Drama, Romance",ja,2020-12-11,6.7,course; the; wornout,"Yes, No, or Maybe Half?"
"Family, Animation, Fantasy, Adventure, Comedy",en,2020-08-14,7.6,spongebob; snatched; beyond,The SpongeBob Movie: Sponge on the Run
"Action, Adventure, Animation, Science Fiction",en,2018-12-06,8.4,spiderverse; others; student,Spider-Man: Into the Spider-Verse
"Adventure, Fantasy",en,2004-05-31,8.0,term; hover; shapeshifting,Harry Potter and the Prisoner of Azkaban
"Crime, Action, Thriller",en,2021-03-03,7.1,final; fortress; closing,The Vault
"Science Fiction, Adventure, Comedy",en,2022-03-09,6.0,crashlanding; pilot; accidentally,The Adam Project
"Action, Adventure, Comedy",en,2016-02-09,7.6,healing; adopts; alter,Deadpool
Western,en,2021-10-22,6.7,saddles; crime; enemy,The Harder They Fall
"Animation, Comedy, Family",en,2001-11-01,7.8,afraid; enters; threaten,"Monsters, Inc."
"Adventure, Animation, Family, Fantasy",en,2021-02-09,7.1,cute; spirit; vaca,Ainbo: Spirit of the Amazon
"Comedy, Drama, Science Fiction",en,2021-12-07,7.2,destroy; giant; warn,Don't Look Up
"Animation, Adventure, Comedy, Family",en,2017-06-15,6.8,unexpected; racers; blazingfast,Cars 3
"Fantasy, Action, Adventure",en,2007-05-01,6.3,allnew; spiderman’s; nemesis,Spider-Man 3
"Western, Action, Thriller",en,2021-12-03,6.4,attempts; had; off,Last Shoot Out
Horror,en,2019-07-21,5.4,sator; supernatural; desolate,Sator
"Adventure, Action, Science Fiction",en,2010-04-28,6.8,'rhodey'; potts; rhodes,Iron Man 2
"Animation, Comedy, Fantasy, Family",en,2020-12-25,8.2,child; seminar; transported,Soul
"Adventure, Action, Fantasy",en,2011-05-14,6.5,if; know; con,Pirates of the Caribbean: On Stranger Tides
"Horror, Thriller",en,2021-02-28,5.4,supervision; government; ultimate,Phobias
"Science Fiction, Thriller, Horror",en,2021-05-21,7.6,threats; venture; beyond,A Quiet Place Part II
"Horror, Drama, Thriller",it,1972-10-14,5.7,author's; second; begins,What the Peeper Saw
"Action, Crime",en,2023-04-06,0.0,saga; installment; tenth,Fast & Furious 10
"Action, Crime, Drama, Thriller",en,2012-07-16,7.8,district; protect; following,The Dark Knight Rises
"Animation, Fantasy, Family",en,2021-11-26,7.6,go; swap; quite,Trolls Holiday in Harmony
"Action, Adventure, Fantasy",en,2016-03-23,5.9,quickly; super; hero,Batman v Superman: Dawn of Justice
"Thriller, Horror",en,2021-09-01,7.2,begins; kate; suspect,Motherly
"Action, Crime, Thriller",en,2021-03-18,8.2,secrets; leave; mansell,Nobody
"Animation, Action, Adventure, Fantasy",ja,2018-08-03,8.0,stop; despite; called,My Hero Academia: Two Heroes
"Adventure, Fantasy",en,2009-07-07,7.7,final; longer; both,Harry Potter and the Half-Blood Prince
"Comedy, Romance",en,2022-01-06,5.3,translator; together; ends,Book of Love
"Action, Science Fiction, Thriller",en,2021-08-26,5.0,park; escape; remote,Jurassic Hunt
Drama,en,2021-12-25,7.2,quarterback; true; hall,American Underdog
"Drama, Action, Crime, Thriller",en,2008-07-14,8.5,chaos; remaining; rising,The Dark Knight
"Animation, Action, Adventure, Mystery",ja,2021-02-24,7.8,learn; gojo; learn,Jujutsu Kaisen 0
"Action, Crime, Drama, Thriller",en,2020-07-02,5.7,forced; wrong; black,Ava
"Romance, Drama",es,2010-12-03,7.8,endless; almost; danger,Three Steps Above Heaven
"Comedy, Drama",ko,2021-08-11,7.1,rain; pour; gigantic,Sinkhole
"Action, Thriller",en,2010-05-22,7.5,dignity; toilets; inmate,Undisputed III: Redemption
"Animation, Adventure, Family, Comedy",en,1995-10-30,8.0,learns; until; andy's,Toy Story
