Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Action, Adventure, Comedy, Fantasy",en,2021-07-28,7.6,frank; boat; search,Jungle Cruise
"Action, Fantasy, Science Fiction",en,2021-03-24,7.8,collision; course; humanity’s,Godzilla vs. Kong
"Action, Adventure, Fantasy",en,2012-06-23,6.7,parker; course; discovers,The Amazing Spider-Man
"Romance, Crime",en,2022-02-17,5.6,past; together; until,Heart Shot
"Action, Adventure, Fantasy, Science Fiction",en,2009-12-10,7.5,century; mission; alien,Avatar
"Animation, Action, Drama, Science Fiction",ja,2021-06-11,7.8,rebellion; enemy; meeting,Mobile Suit Gundam Hathaway
"Crime, Comedy",en,2021-10-27,6.9,aspiring; early; zombie,Army of Thieves
"Drama, Romance",tr,2022-02-23,5.2,opposition; motorbike; deniz,UFO
"Thriller, Mystery",en,2022-03-03,5.9,vanishes; friend; yields,The Weekend Away
"Animation, Family, Adventure, Fantasy, Comedy",en,2020-11-25,7.6,forces; strength; also,The Croods: A New Age
"Animation, Family, Adventure, Comedy",en,2021-12-03,7.7,deadliest; gawk; judged,Back to the Outback
"Action, Science Fiction, Adventure",en,2021-07-02,8.0,join; deadly; future,The Tomorrow War
"Family, Comedy",en,2022-01-28,6.9,super; pop; goes,Home Team
Drama,en,2021-03-17,7.4,mia; bond; feels,The Fallout
"Family, Fantasy, Animation, Action, Adventure",en,2021-03-03,8.0,its; warrior; later,Raya and the Last Dragon
"Science Fiction, Action, Thriller",en,2021-09-09,6.8,call; come; selfmedicated,Infinite
"Action, Crime, Thriller",en,2021-04-22,7.7,cold; guard; came,Wrath of Man
"Crime, Action, Thriller",en,2021-12-17,6.2,retired; around; retired,Fortress
"Family, Animation, Comedy, Science Fiction",en,2021-07-08,7.1,ai; space; whole,Space Jam: A New Legacy
"TV Movie, Mystery, Thriller, Comedy",es,2022-01-13,7.3,case:; eugenio; lydia,Laura y el misterio del asesino inesperado
"Horror, Mystery, Thriller",en,2021-05-25,7.7,us; history; sensational,The Conjuring: The Devil Made Me Do It
"Action, Crime, Drama",en,2005-06-10,7.7,identity; criminal; uncovering,Batman Begins
"Romance, Comedy",en,2022-01-20,6.8,runs; taking; izzy,The Royal Treatment
"Animation, Comedy, Family, Fantasy",en,2021-11-12,7.5,it's; working; enjoying,Ciao Alberto
"TV Movie, Thriller, Crime",en,2021-06-05,7.8,mysteriously; motheroffive; jennifer,Gone Mom: The Disappearance of Jennifer Dulos
Horror,en,2021-06-28,6.6,harbors; detective; examiner,Ripper Untold
"Horror, Science Fiction, Drama, Thriller",fr,2021-05-26,6.1,unknown; every; no,Meander
"Thriller, War",en,2021-11-18,5.3,ominous; rome; soldier,Zeros and Ones
"Action, Adventure",en,2021-07-22,6.8,even; arashikage; apparent,Snake Eyes: G.I. Joe Origins
"Action, Thriller, Crime",en,2021-10-08,5.8,bust; cal; cop,Survive the Game
"Animation, Fantasy, Music, Adventure, Comedy, Family",en,2021-05-28,5.2,boy; irish; bill,Riverdance: The Animated Adventure
"Action, Thriller, Science Fiction",en,2021-11-12,5.4,hunting; once; pay,Apex
"Documentary, Crime",en,2022-02-02,7.1,israeli; millions; victims,The Tinder Swindler
"Romance, Comedy",tr,2022-02-11,6.7,heels; fashion; fall,Love Tactics
"Animation, Adventure, Comedy, Family",en,2021-10-01,7.2,wacky; characters; involved,The Addams Family 2
"Action, Adventure, Fantasy",cn,2021-04-27,6.5,controls; zhuo; han,Dynasty Warriors
"Animation, Comedy, Family, Adventure",fr,2021-05-15,7.9,allows; break; ladybug!,Miraculous World: Shanghai – The Legend of Ladydragon
"Animation, Family, Comedy, Adventure, TV Movie",fr,2020-11-21,8.3,akumatised; discover; cat,"Miraculous World: New York, United HeroeZ"
Documentary,en,2022-03-03,6.9,desert; prides; power,Surviving Paradise: A Family Tale
"Animation, Action, Fantasy, Adventure",ja,2019-12-20,8.4,…; no; there's,My Hero Academia: Heroes Rising
"War, History, Drama",en,2021-11-04,6.5,amina; zaria; 16thcentury,Amina
"Adventure, Drama",en,2021-12-03,6.4,leave; need; sons,Encounter
"Horror, Thriller",en,2021-08-06,6.0,past; decide; forces,Son
"Action, Adventure, Fantasy",en,2020-12-16,6.6,store; botched; places,Wonder Woman 1984
"Action, Adventure, Fantasy",en,2014-04-16,6.5,peter; uncovers; gwen’s,The Amazing Spider-Man 2
Horror,th,2021-12-02,6.5,reveal; house; siblings,The Whole Truth
"Animation, Action, Crime",en,2022-02-07,6.2,both; mention; interpol,Catwoman: Hunted
"Drama, History, War",en,2016-10-07,8.2,doss; american; honor,Hacksaw Ridge
Action,zh,2021-05-06,7.3,no; best; retired,Crazy Fist
"Adventure, Fantasy",en,2001-11-16,7.9,wizard—with; blame; villain,Harry Potter and the Philosopher's Stone
"Science Fiction, Action, Adventure",en,2012-04-25,7.7,need; safety; globe,The Avengers
"Horror, Fantasy, Mystery",en,2021-06-15,6.1,mountains; taken; monster,Dragon Fury
"Horror, Drama",es,2021-07-29,5.1,children; remote; crisis,Tarumama
"Action, Adventure, Fantasy, Science Fiction",en,2016-10-25,7.4,evil; defend; lease,Doctor Strange
"Horror, Thriller",en,2021-10-14,6.8,taking; form; escapes,Halloween Kills
Horror,en,2022-02-10,5.6,local; american; considered,The Exorcism of God
"Action, Adventure, Science Fiction",en,2019-06-28,7.5,cause; agree; natural,Spider-Man: Far From Home
Documentary,en,2022-01-01,8.0,film; franchises; allnew,Harry Potter 20th Anniversary: Return to Hogwarts
"Romance, Drama",en,2020-09-02,7.3,faces; tessa; struggling,After We Collided
Thriller,en,2022-02-17,5.8,desperately; due; police,The Desperate Hour
"Action, Animation, Science Fiction",ja,2015-04-18,6.8,dragon; named; aim,Dragon Ball Z: Resurrection 'F'
"Animation, Family, Comedy",en,2021-10-28,7.1,even; can’t; tenacious,Seal Team
"Action, Mystery, Science Fiction, Thriller",en,2009-03-19,6.1,already; school;; some,Knowing
"Fantasy, Horror, Thriller, Drama",en,2021-10-01,7.2,southern; law; border,Witch Hunt
"Action, Mystery, Science Fiction, Thriller",en,2014-09-10,7.2,deposited; postapocalyptic; forces,The Maze Runner
Horror,en,2021-03-31,6.8,near; england; far,The Unholy
"Action, Adventure, Thriller",ko,2019-12-19,6.6,day; peninsula; baekdu,Ashfall
"Drama, Romance, Music",en,2022-02-11,5.8,grieving; boyfriend; musical,The Sky Is Everywhere
"Romance, Drama",en,2021-09-09,6.2,minute; reclaim; roy,Time Is Up
Horror,en,2021-06-30,6.5,oxygen; initially; deep,The Deep House
"Animation, Action, Comedy",ja,2015-08-07,7.7,busy; spirited; rises!,Boruto: Naruto the Movie
"Adventure, Fantasy",en,2002-11-13,7.7,chamber; bloody; opened,Harry Potter and the Chamber of Secrets
"Action, Science Fiction, Comedy, Family",en,2020-02-12,7.4,hedgehog; planet; friend,Sonic the Hedgehog
"Family, Animation, Fantasy, Music, Comedy, Adventure",en,2017-10-27,8.2,along; becoming; off,Coco
Drama,fr,2017-06-21,6.0,sight; lose; mother,Ava
"War, Drama, Action",en,2014-10-15,7.5,'fury'; heart; army,Fury
"Thriller, Horror",en,2021-08-12,7.4,blind; criminals; forcing,Don't Breathe 2
"Action, Comedy, Adventure",es,2021-10-01,7.8,rubén; death; theft,Matando Cabos 2: La Máscara del Máscara
"Action, Fantasy, Adventure",en,2020-12-03,6.8,ferocity; elite; danger,Monster Hunter
"Action, Romance, Animation",ja,2014-12-06,7.9,towards; ago; everything,The Last: Naruto the Movie
"Action, Adventure, Science Fiction, Drama",en,2017-07-05,7.4,mentor; student; york,Spider-Man: Homecoming
"Science Fiction, Comedy",fr,2022-02-11,5.4,even; stage; nostalgic,Bigbug
"Fantasy, Action",en,2002-05-01,7.2,parker; endearing; bitten,Spider-Man
"Adventure, Science Fiction, Action",en,2019-04-24,8.3,avengers:; restore; order,Avengers: Endgame
"Thriller, Mystery, Horror",en,2021-07-21,6.6,tropical; single; entire,Old
"Action, Science Fiction, Drama",en,2011-09-28,6.9,teams; kenton; sport,Real Steel
"Romance, Comedy",ko,2022-02-11,6.3,so; good; never,Love and Leashes
"Romance, Drama",en,2019-04-11,7.2,meets; high; brooding,After
"Horror, Action, Thriller",en,2021-06-30,7.3,annual; should; stop,The Forever Purge
"Comedy, Drama, Romance",en,2022-02-11,6.0,gains; tall; stand,Tall Girl 2
"Drama, Comedy",en,2022-02-17,8.3,coast; attend; dog,Dog
"Drama, Science Fiction, Thriller",en,2007-12-12,7.2,robert; york; survivor,I Am Legend
"Animation, Action, Fantasy",ja,2007-08-04,7.2,demon; maiden; naruto's,Naruto Shippuden the Movie
"Comedy, Family, Animation",en,2021-02-10,7.0,jerry; kicked; lose,Tom & Jerry
"Adventure, History, Drama",en,2022-02-10,7.0,survive; icecovered; left,Against the Ice
"Animation, Comedy",es,2021-08-12,8.1,away; food; egg,An Egg Rescue
"Adventure, Fantasy, Family",en,2005-11-16,7.8,since; cruel; battle,Harry Potter and the Goblet of Fire
"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance",ja,2021-02-11,8.1,reunite!; age; outer,Pretty Guardian Sailor Moon Eternal The Movie Part 2
"Horror, Thriller",en,2021-07-29,4.8,supernatural; between; revealed,Demonic
"Animation, Family",en,2021-11-24,8.1,better; keep; gets,Far From the Tree
"Horror, Thriller, Adventure, Mystery",en,2020-07-09,5.1,fall; themselves; trapped,Black Water: Abyss
"Animation, Drama, Romance",ja,2020-12-11,6.7,the; artist; nicknamed,"Yes, No, or Maybe Half?"
"Family, Animation, Fantasy, Adventure, Comedy",en,2020-08-14,7.6,mission; friend; snatched,The SpongeBob Movie: Sponge on the Run
"Action, Adventure, Animation, Science Fiction",en,2018-12-06,8.4,miles; dimension; others,Spider-Man: Into the Spider-Verse
"Adventure, Fantasy",en,2004-05-31,8.0,hippogriff; black; dementors,Harry Potter and the Prisoner of Azkaban
"Crime, Action, Thriller",en,2021-03-03,7.1,whole; security; spain's,The Vault
"Science Fiction, Adventure, Comedy",en,2022-03-09,6.0,self; fighter; timetraveling,The Adam Project
"Action, Adventure, Comedy",en,2016-02-09,7.6,deadpool; former; healing,Deadpool
Western,en,2021-10-22,6.7,saddles; ruthless; buck,The Harder They Fall
"Animation, Comedy, Family",en,2001-11-01,7.8,afraid; wazowski; mike,"Monsters, Inc."
"Adventure, Animation, Family, Fantasy",en,2021-02-09,7.1,quest; 'dillo'; embark,Ainbo: Spirit of the Amazon
"Comedy, Drama, Science Fiction",en,2021-12-07,7.2,warn; planet; earth,Don't Look Up
"Animation, Adventure, Comedy, Family",en,2017-06-15,6.8,heart; fabulous; racers,Cars 3
"Fantasy, Action, Adventure",en,2007-05-01,6.3,gets; triangle; nemesis,Spider-Man 3
"Western, Action, Thriller",en,2021-12-03,6.4,off; had; rescued,Last Shoot Out
Horror,en,2019-07-21,5.4,supernatural; claim; observed,Sator
"Adventure, Action, Science Fiction",en,2010-04-28,6.8,public; pressure; james,Iron Man 2
"Animation, Comedy, Fantasy, Family",en,2020-12-25,8.2,gets; souls; soul,Soul
"Adventure, Action, Fantasy",en,2011-05-14,6.5,jack; it's; past,Pirates of the Caribbean: On Stranger Tides
"Horror, Thriller",en,2021-02-28,5.4,testing; weaponize; test,Phobias
"Science Fiction, Thriller, Horror",en,2021-05-21,7.6,threats; outside; abbott,A Quiet Place Part II
"Horror, Drama, Thriller",it,1972-10-14,5.7,may; wealthy; suspect,What the Peeper Saw
"Action, Crime",en,2023-04-06,0.0,saga; tenth; installment,Fast & Furious 10
"Action, Crime, Drama, Thriller",en,2012-07-16,7.8,attorney's; district; resurfaces,The Dark Knight Rises
"Animation, Fantasy, Family",en,2021-11-26,7.6,holiday; trolls; things,Trolls Holiday in Harmony
"Action, Adventure, Fantasy",en,2016-03-23,5.9,actions; formidable; super,Batman v Superman: Dawn of Justice
"Thriller, Horror",en,2021-09-01,7.2,put; kate; instincts,Motherly
"Action, Crime, Thriller",en,2021-03-18,8.2,brutal; secrets; ignited,Nobody
"Animation, Action, Adventure, Fantasy",ja,2018-08-03,8.0,iron; special; despite,My Hero Academia: Two Heroes
"Adventure, Fantasy",en,2009-07-07,7.7,harry; horace; upon,Harry Potter and the Half-Blood Prince
"Comedy, Romance",en,2022-01-06,5.3,ends; so; creates,Book of Love
"Action, Science Fiction, Thriller",en,2021-08-26,5.0,hunted; even; sport,Jurassic Hunt
Drama,en,2021-12-25,7.2,mvp; champion; hall,American Underdog
"Drama, Action, Crime, Thriller",en,2008-07-14,8.5,chaos; citizens; dismantle,The Dark Knight
"Animation, Action, Adventure, Mystery",ja,2021-02-24,7.8,high; nervous; friend,Jujutsu Kaisen 0
"Action, Crime, Drama, Thriller",en,2020-07-02,5.7,goes; black; assassin,Ava
"Romance, Drama",es,2010-12-03,7.8,sense; belong; motorbike,Three Steps Above Heaven
"Comedy, Drama",ko,2021-08-11,7.1,unfortunate; they’re; invites,Sinkhole
"Action, Thriller",en,2010-05-22,7.5,prison; good; freedom,Undisputed III: Redemption
"Animation, Adventure, Family, Comedy",en,1995-10-30,8.0,andy's; brings; birthday,Toy Story
